Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-onko-de.json	263048	-	0	0	0	0	0	0	20	81	0	0	0	0	0	0	0	3	0	0	53	424	2754	0	0	0	19	0	8
fsh-generated/resources/AdverseEvent-mii-exa-onko-nebenwirkung-anaemie-grad3.json	1522	3	0	0	2	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	10	8	43	0	0	0	0	0	0
fsh-generated/resources/AdverseEvent-mii-exa-onko-nebenwirkung-crs-grad4.json	1581	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	6	25	0	0	0	0	0	0
fsh-generated/resources/AdverseEvent-mii-exa-onko-nebenwirkung-rektale-mukositis-grad2.json	1425	2	0	0	0	0	0	0	0	998	0	0	0	0	0	0	0	0	0	0	3	6	22	0	0	0	0	0	0
fsh-generated/resources/AdverseEvent-mii-exa-onko-oxaliplatin-neuropathy.json	1373	2	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	3	7	23	0	0	0	0	0	0
fsh-generated/resources/AdverseEvent-mii-pr-onko-nebenwirkung-0.json	1480	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	6	22	0	0	0	0	0	0
fsh-generated/resources/AdverseEvent-mii-pr-onko-nebenwirkung-text.json	774	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	5	21	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-cup-bundle.json	14337	4	13	0	0	0	0	0	1	1041	0	0	0	0	0	0	0	0	0	0	7	51	143	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-folfox-workflow-bundle.json	40464	6	19	0	0	0	0	0	2	149	0	0	0	0	0	0	0	0	0	0	4	56	418	0	0	0	0	0	1
fsh-generated/resources/Bundle-mii-exa-onko-kim-musterperson-synthesized.json	55496	5	13	0	0	0	0	0	3	466	0	0	0	0	0	0	0	0	0	0	5	73	454	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-krk-bundle.json	17333	3	6	0	0	0	0	0	1	1688	0	0	0	0	0	0	0	0	0	0	3	27	4997	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-mamma-example-bundle-1.json	12839	2	2	0	0	0	0	0	1	407	0	0	0	0	0	0	0	1	0	0	4	20	1300	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-melanom-bundle.json	13734	3	3	0	0	0	0	0	1	2037	0	0	0	0	0	0	0	0	0	0	3	20	6131	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-prostata-example-bundle-1.json	16890	3	2	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	4	24	117	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-tnm-bundle-legacy.json	10688	2	1	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	3	15	52	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-tnm-bundle-synthesized.json	21890	3	3	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	3	27	120	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-tnm-bundle.json	11228	2	1	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	4	15	52	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-mii-cps-onko-capabilitystatement.json	93468	5	0	0	1	0	0	0	4	59	0	0	0	0	0	0	0	0	0	0	4	128	214	0	1	0	5	0	1
