Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Backout plan),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comment Type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (HL7 Resolution),Custom field (Impact),Custom field (Implementation plan),Custom field (Investigation reason),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Operational categorization),Custom field (Pending reason),Custom field (Planned end),Custom field (Planned start),Custom field (Product categorization),Custom field (Project),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Custom field (Root cause),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Source),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Email-Inhalt),Custom field (Test plan),Custom field (Time to close after resolution),Custom field (Time to done),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Time to resolution),Custom field (Time to review normal change),Custom field (Time to review normal change),Custom field (Total forms),Custom field (Urgency),Custom field (Vote),Custom field (Vulnerability),Custom field (Work category),Custom field (Workaround),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Status Category,Status Category Changed
Studienteilnahme,HDB-715,12709,Task,Work in progress,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,,,,Liudmila Lysyakova,60f180834257a90070d85dd3,Liudmila Lysyakova,60f180834257a90070d85dd3,02/Oct/25 9:14 PM,20/Oct/25 9:54 AM,,,,0,,"Wie sieht es mit der Einbindung des MII-Moduls Forschungsvorhaben aus? Wenn es angedacht ist, sollte das Modul vielleicht mit in das Zukunfts-UML unter [Profile - Beziehungen und Referenzen|https://www.medizininformatik-initiative.de/Kerndatensatz/KDS_Onkologie/MIIIGModulOnkologie-TechnischeImplementierung-Profile-Beziehungen-und-Referenzen.html] ?",,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@41b680,,,,,,Rückfrage,,,,,,,,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i0059z:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-20 07:50:03.953,,"20/Oct/25 9:50 AM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;Angenommen, unter dem Vorbehalt dass die Verwendung des Moduls Forschugnsvorhaben an Standorten nicht verpflichtend ist. 

[https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/232|https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/232|smart-link] ",,,,In Progress,20/Oct/25 9:54 AM
Profile Verlaufshistologie und Specimen - Tumor Histologiedatum ,HDB-714,12708,Task,Work in progress,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,,,,Liudmila Lysyakova,60f180834257a90070d85dd3,Liudmila Lysyakova,60f180834257a90070d85dd3,02/Oct/25 9:01 PM,20/Oct/25 10:08 AM,,,,0,,"Tumor Histologiedatum wurde doppelt modelliert: im Specimen als Specimen.collection.collectedDateTime und in der Verlaufshistologie als Observation.effectiveDateTime. Das ist sehr verwirrend! Das KDS-Modul Onkologie bietet eine Basis für viele Forschungsprojekte, z.B. für NCT, und insbesondere das FDPG der MII ist auf Forschung ausgerichtet. Deswegen wäre hier eine belastbare und zukunftssichere Lösung wünschenswert, die neben Tumordokumentation auch gute Datenqualität für Analysen ermöglicht.

Fakten sind: 

* Das oBDS definiert das Element 6.1 Tumor Histologiedatum als “Datum, an dem die Gewebeprobe entnommen wurde“.
* FHIR R4 core definiert 
** Specimen.collection.collectedDateTime als “Time when specimen was collected from subject - the physiologically relevant time.“ (eindeutige Definition)
** Observation.effectiveDateTime als “The time the observed value is asserted as being true. For biological subjects - e.g. human patients - this is usually called the ""physiologically relevant time"". This is usually either the time of the procedure or of specimen collection“. (Use Case abhängig)

Mein Vorschlag: 

* Für eine histologische Untersuchung klingt “the time of the procedure” als Observation.effectiveDateTime natürlicher. Diese Definition kann durch die Abgrenzung von Specimen zusätzliche Information über den Verlauf einer Erkrankung liefern, was für Forschungsanalysen relevant ist.
* Observation.effectiveDateTime in Verlaufshistologie in “Datum der histologischen Untersuchung” umbenennen. Übrigens das wäre dann auch das Datum der Diagnosesicherung (Feststellungsdatum bzw. 5.6 “Primärtumor Diagnosedatum” nach oBDS), das aktuell durch Condition.extension assertedDate abgebildet wird.
* Das Specimen.collection.collectedDateTime “Datum der Probenentnahme” nennen.
* Im IG im Profil Verlaufshistologie den Hinweis geben, dass es eine verpflichtende (1..1) Reference auf Specimen gibt und dass das oBDS für Tumordokumentation unter dem Element 6.1 Tumor Histologiedatum das Datum der Probenentnahme aus dem Profil Specimen versteht. Im Mapping oBDS zu FHIR in [Verlaufshistologie |https://www.medizininformatik-initiative.de/Kerndatensatz/KDS_Onkologie/MIIIGModulOnkologie-TechnischeImplementierung-FHIR-Profile-Histologie-Verlaufshistologie-Observation.html] 6.1 Tumor Histologiedatum entweder entfernen oder auf Specimen.collection.collectedDateTime statt auf Observation.effective[x] mappen. Das letztere fände ich verständlicher. 
* In UML Histologie auf der Seite [Profile - Inhalt und Vererbung|https://www.medizininformatik-initiative.de/Kerndatensatz/KDS_Onkologie/MIIIGModulOnkologie-TechnischeImplementierung-Profile-Inhalt-und-Vererbung.html] die Verbindung zwischen Verlaufshistologie und Specimen darstellen (fehlt aktuell, s. Screenshot)
* In UML [hier|https://www.medizininformatik-initiative.de/Kerndatensatz/KDS_Onkologie/MIIIGModulOnkologie-AnwendungsflleInformationsmodell-UML.html] unter Anwendungsfälle / Informationsmodell habe ich Verlaufshistologie nicht gefunden - ist sie als Teil des Histologie-Blocks gemeint? Wenn ja, wäre es möglich das so darzustellen? Wenn nein, dann wäre ein Kästchen für Verlaufshistologie in UML gern gesehen. Und Specimen entsprechend den Profilen mit Verlaufshistologie und Genetische Variante verbinden.

",,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,02/Oct/25 7:50 PM;60f180834257a90070d85dd3;image-20251002-175039.png;https://hl7germany.atlassian.net/rest/api/3/attachment/content/10544,02/Oct/25 7:58 PM;60f180834257a90070d85dd3;image-20251002-175849.png;https://hl7germany.atlassian.net/rest/api/3/attachment/content/10545,02/Oct/25 8:53 PM;60f180834257a90070d85dd3;image-20251002-185258.png;https://hl7germany.atlassian.net/rest/api/3/attachment/content/10546,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@61b0f838,,,,,,Ablehnende Kritik,,,,,,,,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i0059r:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-20 08:08:20.482,,"02/Oct/25 9:01 PM;60f180834257a90070d85dd3;!image-20251002-175039.png|thumbnail!

!image-20251002-175849.png|thumbnail!

!image-20251002-185258.png|thumbnail!","20/Oct/25 10:08 AM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;Danke für die Kommentare - ich versuche das mal aufzusclüsseln. 



Observation.effectiveDateTime  = “Datum der histologischen Untersuchung” - angenommen

Specimen.collection.collectedDate = “Datum der Probenentnahme - angenommen

Verlaufshistologie IG Seite besser erklären  - angenommen

Verlaufshistologie oBDS-Mapping anpassen -angenommen

Verlaufshistologie in Inhalt und vererbung ergänzen (fehlt bis jetzt) -angenommen

Verlaufshistolgoie im UML- nicht angenommen - hier tauchen primär die Datenpunkte aus dem oBDS auf. Die Verlaufshistologie-Profil ist ein Konstrukt, was erst in der FHIR-Implementierung auftaucht und für das logische Model nicht relevant ist.

[https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/233|https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/233|smart-link] ",,,In Progress,20/Oct/25 10:08 AM
Informationsmodell UML Genetische Variante - Reference auf Specimen zufügen,HDB-712,12691,Task,Pending,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,Liudmila Lysyakova,60f180834257a90070d85dd3,Liudmila Lysyakova,60f180834257a90070d85dd3,02/Oct/25 12:21 PM,02/Oct/25 2:04 PM,27/Oct/25 10:25 PM,,,0,,"In allen UMLs ist die Genetische Variante losgelöst von der Bioprobe. Im Profil Genetische Variante ist die Referenz auf die Bioprobe optional (0..1 Kardinalität). Es sollte eine entsprechende Verbindung in UMLs dargestellt werden. 

Die genetische Variante ist ein Ergebnis der Untersuchung des einzelnen (Tumor)Specimens, und es wäre eigentlich gut die Kardinalität auf 1..1 zu setzen. Gleichzeitig enthält oBDS keine Datenelemente zu Bioproben, sodass 0..1 für die aktuelle Modulversion möglicherweise besser passt. Aber es wäre dann definitiv eine Überlegung im Rahmen der Einbindung des MolGen-Befundes.",,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5334bc97,,,,,,Vorschlag,,,,,,,Angenommen mit Modifikationen,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i0059b:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02 12:02:09.928,,"02/Oct/25 2:02 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;Danke für den Vorschlag. 

Die Variante basiert auf der Clinical Genomics Variante - dort wird die Methodik inkl. mit GenomicStudy / GenomicStudyAnalysis (R4 Backport-Procedures) abgebildet, dazu gehört auch das verwenderte Specimen. Da ein MolGen Befund potentiell sehr viele Varianten beinhalten kann, ist dort ein Observation-spezifische Referenz auf das Specimen nicht angedacht. 

With that being said, : 

* im deutschen Krebseregisterkontext wird die Art des Specimens nicht definiert, sondern ergibt sich aus OPS-Prozedur plus Pathologiemeldung. 
* Specimen entstehen bei Operationen, Biopsien oder ähnlichen eingriffen. 
* Wie immer ist eine ganzeheitliche Lösung schwierig, das bsp. bei Prostatastanzen 12 unabhängige Stanzen exiistieren können, die entweder einzeln oder gesammelt als Prostataspecimen in FHIR abgebildet werden können. 

Daher ist mit den momentanen Daten ein 1..1 schwierig.



Vorgeschlagene Änderung: Anpassung UML und Bekräftigung im IG, dass Specimen angegeben SOLL wenn es da ist. 

Motion: Tendenziell angenommen, Besprechung im Modulteam",02/Oct/25 2:04 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;[https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/215|https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/215|smart-link] ,,,In Progress,02/Oct/25 2:03 PM
Bezug zu nationalen Standards - Nationale Vorarbeiten,HDB-711,12690,Task,Work in progress,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,Liudmila Lysyakova,60f180834257a90070d85dd3,Liudmila Lysyakova,60f180834257a90070d85dd3,02/Oct/25 11:09 AM,20/Oct/25 10:09 AM,,,,0,,"[https://www.medizininformatik-initiative.de/Kerndatensatz/KDS_Onkologie/MIIIGModulOnkologie-BezugZuNationalenStandards.html|https://www.medizininformatik-initiative.de/Kerndatensatz/KDS_Onkologie/MIIIGModulOnkologie-BezugZuNationalenStandards.html|smart-link] 

# Wäre es möglich, die Beschreibung von GOLD etwas anzupassen? So wünschten wir es uns: “Das Projekt GOLD wurde vom Vision-Zero e.V. initiiert und zielt auf die Abbildung einer kompletten onkologischen Patient Journey ab. Das Datenmodell und die dazugehörigen Profile wurden von existierenden Datenmodellen aus Versorgung, Forschung und Industrie in Deutschland und Ausland abgeleitet. Es wurden Vorschläge für Harmonisierung verschiedener Spezifikationen erarbeitet und mit deutschen Experten abgestimmt. Die ersten FHIR-Profile mit Fokus auf Diagnose und Klassifikationen, wie die TNM-Klassifikation, sowie Bildgebung und Verlauf sind in mehrere weitere Projekte eingeflossen, z.B. Basisprofile Onkologie von HL7 Deutschland und das MII-Modul Befunde bildgebender Verfahren. Die aktuelle Version ist hier zu finden: [https://vision-zero-oncology.github.io/GOLD/|https://vision-zero-oncology.github.io/GOLD/|smart-link]“
# Das Mapping der Datenelemente des Modellvorhabens Genomsequenzierung auf den MII KDS ist toll. Wäre es möglich in dieser Tabelle zusätzlich (als eine weitere Spalte) auch das Mapping auf Datenelemente des oBDS darzustellen? Das Mapping KDS-Onko zu oBDS ist ja vorhanden, es wäre nur eine Darstellungssache.

",,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,02/Oct/25 11:06 AM;60f180834257a90070d85dd3;image-20251002-090602.png;https://hl7germany.atlassian.net/rest/api/3/attachment/content/10510,02/Oct/25 11:06 AM;60f180834257a90070d85dd3;image-20251002-090639.png;https://hl7germany.atlassian.net/rest/api/3/attachment/content/10511,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@55156227,,,,,,Vorschlag,,,,,,,Angenommen mit Modifikationen,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i00593:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02 12:14:43.82,,"02/Oct/25 11:09 AM;60f180834257a90070d85dd3;!image-20251002-090602.png|thumbnail!

!image-20251002-090639.png|thumbnail!","02/Oct/25 2:14 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;1, Angenommen, Text für Gold kann übernommen werden. 

# Die Tabelle wird automatisch aus einer ConceptMap gerendert. Eine ConceptMap kann immer nur zwischen zwei Systemen / ValueSets definiert werden, deshalb kann nicht einfach eine Spalte hinzugefügt werden. Es handelt sich hier theoretisch um drei Spezifikationen (oBDS, MII Onkologie, MV GenomSeq Onko), für die jeweils Mappings definiert werden müssten. Optimalerweise hat man zwischen zwei Spezifikationen immer ein Hin-und Rückmapping. 

# 

# {noformat}Vorschlag: In einer der kommenden Versionen kann ich den kompletten oBDS als Logical Model abbilden, und erstmal Mappings oBDS->MII Onko und oBDS → MVGenomSeq{noformat}

[https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/216|https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/216]",,,In Progress,20/Oct/25 10:09 AM
Post-hoc ATC-Kodierung durch DIZ,HDB-710,12689,Task,Pending,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,,,,Liudmila Lysyakova,60f180834257a90070d85dd3,Liudmila Lysyakova,60f180834257a90070d85dd3,02/Oct/25 10:27 AM,20/Oct/25 10:10 AM,,,,0,,"Zu den [Kernfragen|https://www.medizininformatik-initiative.de/Kerndatensatz/KDS_Onkologie/MIIIGModulOnkologie-Kommentierung-v2026.html]:

# _Ist Post-Annotation von Freitext zu ATC-Codes grundsätzlich erlaubt?_ ← Wenn wirklich alle sich über verbindliche Regeln einig sind, könnte es hilfreich sein. Es muss allerdings sehr klar definiert sein und darf lediglich eine zusätzliche Möglichkeit bleiben, damit die originalen (Freitext)Daten nicht verändert/verloren werden (s. Contra-Argument “Verfälschung historischer Dokumentation”). Also, 
## die klare Kennzeichnung als Post-Annotation 
## und Provenance-Dokumentation sind zwingend erforderlich 
## und die originale Freitextinformation muss erhalten bleiben, exakt wie vorgeschlagen. 
# _Falls ja, welche ATC-Version soll verwendet werden (historisch korrekt vs. aktuell)?_ ← Ist es möglich, beide Versionen zu erlauben? So wären die Contra-Argumente zu dem vorgeschlagenen Ansatz mit aktuellen ATC-Codes “Original-Therapiezeitpunkt” und “retrospektive Analysen” adressiert. Ich stelle es mir als triple-coding vor: 
## Original-Freitext
## Post-Annotation ATC historisch
## Post-Annotation ATC aktuell
# _Sollte es eine zentrale Mapping-Tabelle für häufige Freitext-Einträge geben?_ ← Ja, unbedingt! Bitte-bitte!

",,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@33733a14,,,,,,Vorschlag,,,,,,,,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i0058v:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02 12:28:32.2,,"02/Oct/25 2:28 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;Danle für die Hinweise - 

zu 1. Das Orginalwording könnte bsp. weiterhin in MedicationStatement.medicatonCodeableConcept.text landen.

zu 2. Das ist eine gute Idee ich glaube aber das ist aufgrund der Slicing-Regeln nicht möglich. Wir testen das mal.

zu 3. Es gibt ja die ATC-ValueSets [https://simplifier.net/medizininformatikinitiative-modulonkologie/mii-vs-onko-systemische-therapie-substanzen-2025|https://simplifier.net/medizininformatikinitiative-modulonkologie/mii-vs-onko-systemische-therapie-substanzen-2025|smart-link]  sowie die UNII VAlue Sets. 
[https://simplifier.net/medizininformatikinitiative-modulonkologie/mii-vs-onko-systemische-therapie-substanzen-unii|https://simplifier.net/medizininformatikinitiative-modulonkologie/mii-vs-onko-systemische-therapie-substanzen-unii|smart-link] 


Welche Substanzen oder Datenelemten habt ihr denn, die dadurch nicht abgedeckt werden?



Motion: Testing Doppelbelegung ATC Coding","02/Oct/25 2:29 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;h3. 
*thomas.debertshaeuser* 1 minute agoInternal note

Danle für die Hinweise -

zu 1. Das Orginalwording könnte bsp. weiterhin in MedicationStatement.medicatonCodeableConcept.text landen.

zu 2. Das ist eine gute Idee ich glaube aber das ist aufgrund der Slicing-Regeln nicht möglich. Wir testen das mal.

zu 3. Es gibt ja die ATC-ValueSets [https://simplifier.net/medizininformatikinitiative-modulonkologie/mii-vs-onko-systemische-therapie-substanzen-2025|https://simplifier.net/medizininformatikinitiative-modulonkologie/mii-vs-onko-systemische-therapie-substanzen-2025|smart-link]  sowie die UNII VAlue Sets. 
[https://simplifier.net/medizininformatikinitiative-modulonkologie/mii-vs-onko-systemische-therapie-substanzen-unii|https://simplifier.net/medizininformatikinitiative-modulonkologie/mii-vs-onko-systemische-therapie-substanzen-unii|smart-link] 


Welche Substanzen oder Datenelemten habt ihr denn, die dadurch nicht abgedeckt werden?

 

Motion: Testing Doppelbelegung ATC Coding

[https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/218|https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/218|smart-link] ",,,In Progress,20/Oct/25 10:10 AM
Inkonsistente Verwendung Binding + `patternUri`,HDB-709,12688,Task,Open,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,,,,Joshua Wiedekopf,6049de15addbcd006bc10e37,Joshua Wiedekopf,6049de15addbcd006bc10e37,02/Oct/25 9:05 AM,02/Oct/25 2:44 PM,,,,0,,"An vielen Stellen ist ein {{patternUri}} hinterlegt, aber auch nicht überall, wo es hinterlegt ist, ist es aufgrund der Kardinalitäten wirklich notwendig, sondern addiert teilweise nur ein MS-Flag oder nichts, weil das VS ja schon nur ein CS inkludiert. Ist es sinnvoll, das konsequent anzugleichen? 

Beispiel wo es ""fehlt"": {{mii-pr-onko-strahlentherapie}} in {{Procedure.outcome.coding}}. 

Beispiel wo es nichts addiert: {{mii-pr-onko-operation}} in {{Procedure.complication:compl_obds.coding.system}}",,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4791d40,,,,,,Vorschlag,,,,,,,,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i0058n:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02 12:40:27.846,,"02/Oct/25 2:40 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;Danke für den Hinweis. 

Ich kann nochmal mit Claude eine strukturierte Codeanalyse machen - andererseits ist das aus dem FSH teilweise schwer zu lesen, wenn man von Profilen erbt. Ich kann natürlich die StructureDefinition-JSONs selbst nochmal nach einheitlichkeit der Bindings durchscreenen. 

Wäre alles viel Aufwand. Hat das irgendwelche technischen Auswirkungen außer das es nicht ganz einheitlich ist? ","02/Oct/25 2:44 PM;6049de15addbcd006bc10e37;Das kann ich als nicht-profilierender Mensch nicht beurteilen, daher auch ein Vorschag 😉 Ich denke, es ist prinzipiell nicht problematisch, hilft aber eventuell in Bezug auf Selbstverständlichkeit der Profile ohne die Notwendigkeit, in geerbte Profile und/oder IGs zu schauen, was ja prinzipiell nicht verkehrt ist. Wenn du das Gefühl hast, der Payoff ist nicht da, kann das Issue gerne geschlossen werden.",,,To Do,02/Oct/25 9:05 AM
Tippfehler VS-Canonical `mii-vs-onko-strahlentherapie-applikationsart`,HDB-708,12687,Task,Work in progress,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,,,,Joshua Wiedekopf,6049de15addbcd006bc10e37,Joshua Wiedekopf,6049de15addbcd006bc10e37,02/Oct/25 9:04 AM,20/Oct/25 10:11 AM,,,,0,,"Ist es zu spät, die Canonical zu ändern? 

{{https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-sstrahlentherapie-applikationsart}}

",,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@9a6b3c8,,,,,,Tippfehler,,,,,,,Angenommen,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i0058f:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02 12:42:59.429,,"02/Oct/25 2:42 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;Whoopise. Ich vermute nicht, ich kann das anpassen. Ist formal ein Breaking change, aber sollte keinen großen unterschied machen. 

[https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/219|https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/219|smart-link] ",,,,In Progress,20/Oct/25 10:11 AM
Profil `mii-pr-onko-residualstatus` - `Observation.code` Kardinalitäten,HDB-707,12686,Task,Open,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,,,,Joshua Wiedekopf,6049de15addbcd006bc10e37,Joshua Wiedekopf,6049de15addbcd006bc10e37,02/Oct/25 9:04 AM,02/Oct/25 2:56 PM,,,,0,,Sollte die Kardinalität nicht 1..1 sein?,,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@26eaa05b,,,,,,Rückfrage,,,,,,,Angenommen,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i00587:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02 12:52:34.58,,02/Oct/25 2:52 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;Angenommen ,02/Oct/25 2:56 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;[https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/220|https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/220],,,To Do,02/Oct/25 9:04 AM
Binding Strength `mii-pr-onko-prostata-operation`,HDB-706,12685,Task,Open,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,,,,Joshua Wiedekopf,6049de15addbcd006bc10e37,Joshua Wiedekopf,6049de15addbcd006bc10e37,02/Oct/25 9:03 AM,02/Oct/25 3:01 PM,,,,0,,"Die Description und die Definition in element deuten auf ein intendiertes Preferred-Binding hin, aber die Binding Strength ist {{required}}.",,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@260913d7,,,,,,Tippfehler,,,,,,,,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i0057z:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02 13:01:40.774,,"02/Oct/25 3:01 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;Ja, weil die Mii-Onko-Prostata-Operation von der MII-Onko-Operation und diese von der MII- Prozedure erbt, kann das Binding leider nicht auf preferred gesetzt werden. 

Das scheint sich hier noch in der Descriptiion wiederzuspiegeln, das sollten wir anpassen



Motion: Texte in Profil und IG anpassen. 

[https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/221|https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/221|smart-link] ",,,,To Do,02/Oct/25 9:03 AM
Profil `mii-pr-onko-melanom-sicherheitsabstand` - description,HDB-705,12684,Task,Open,HDB,HL7 Deutschland Ballotierung,service_desk,Alexander Zautke,602e87d15b63c400680b2a43,,,Medium,,,,Joshua Wiedekopf,6049de15addbcd006bc10e37,Joshua Wiedekopf,6049de15addbcd006bc10e37,02/Oct/25 9:03 AM,02/Oct/25 3:15 PM,,,,0,,"""Dieses Profil beschreibt den minimalen Sicherheitsabstand zum Primärtumor beim Malignen Melanom basierend oBDS Feld MM1. Abweichend"" - soll das ""Abweichend"" noch erklärt werden? :)",,thomas.debertshaeuser,712020:54b97f23-f59d-4eeb-b251-06650a9ad372,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@646224d,,,,,,Tippfehler,,,,,,,Angenommen,,,,,,,,,,,,,MII - Modul Onkologie,,,0|i0057r:,Submit feedback for specification improvements,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02 13:14:53.781,,"02/Oct/25 3:14 PM;712020:54b97f23-f59d-4eeb-b251-06650a9ad372;Hier fehlt sowohl Text als auch teile des Profils, bei -1 soll eigentlich ein Dataabsentreason , z.B. not-asked, gesetzt werden

[https://www.basisdatensatz.de/feld/114/sicherheitsabstand-prim%C3%A4rtumor|https://www.basisdatensatz.de/feld/114/sicherheitsabstand-prim%C3%A4rtumor|smart-link] 

[https://hl7.org/fhir/R4/valueset-data-absent-reason.html|https://hl7.org/fhir/R4/valueset-data-absent-reason.html|smart-link]



Angenommen

[https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/222|https://github.com/medizininformatik-initiative/kerndatensatzmodul-onkologie/issues/222|smart-link] ",,,,To Do,02/Oct/25 9:03 AM
