URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.de/ValueSet/bfarm/icd-10-gm,1.5.4,active,,ICD10GMVS,ICD10GM ValueSet,"ICD-10-GM","StructureDefinition/mii-pr-onko-operation,StructureDefinition/mii-pr-onko-mamma-operation,StructureDefinition/mii-pr-onko-prostata-operation,StructureDefinition/mii-pr-onko-mamma-sozialdienst,StructureDefinition/mii-pr-onko-melanom-exzision,StructureDefinition/mii-pr-onko-krk-operation","de.basisprofil.r4"
http://fhir.de/ValueSet/lebensphase-de,1.5.4,active,,ValueSetLebensphaseDe,LebensphaseDe ValueSet,"Dieses Valueset enthält Snomedcodes zur Angabe der Lebensphase","StructureDefinition/mii-pr-onko-diagnose-primaertumor","SCT"
http://hl7.org/fhir/ValueSet/action-cardinality-behavior,4.0.1,draft,"2.16.840.1.113883.4.642.3.807",ActionCardinalityBehavior,ActionCardinalityBehavior,"Defines behavior for an action or a group for how many times that item may be repeated.","StructureDefinition/mii-pr-onko-therapieempfehlung-kombinationstherapie","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/action-condition-kind,4.0.1,draft,"2.16.840.1.113883.4.642.3.815",ActionConditionKind,ActionConditionKind,"Defines the kinds of conditions that can appear on actions.","StructureDefinition/mii-pr-onko-therapieempfehlung-kombinationstherapie","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/action-grouping-behavior,4.0.1,draft,"2.16.840.1.113883.4.642.3.799",ActionGroupingBehavior,ActionGroupingBehavior,"Defines organization behavior of a group.","StructureDefinition/mii-pr-onko-therapieempfehlung-kombinationstherapie","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/action-precheck-behavior,4.0.1,draft,"2.16.840.1.113883.4.642.3.805",ActionPrecheckBehavior,ActionPrecheckBehavior,"Defines selection frequency behavior for an action or group.","StructureDefinition/mii-pr-onko-therapieempfehlung-kombinationstherapie","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/action-relationship-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.813",ActionRelationshipType,ActionRelationshipType,"Defines the types of relationships between actions.","StructureDefinition/mii-pr-onko-therapieempfehlung-kombinationstherapie","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/action-required-behavior,4.0.1,draft,"2.16.840.1.113883.4.642.3.803",ActionRequiredBehavior,ActionRequiredBehavior,"Defines expectations around whether an action or action group is required.","StructureDefinition/mii-pr-onko-therapieempfehlung-kombinationstherapie","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/action-selection-behavior,4.0.1,draft,"2.16.840.1.113883.4.642.3.801",ActionSelectionBehavior,ActionSelectionBehavior,"Defines selection behavior of a group.","StructureDefinition/mii-pr-onko-therapieempfehlung-kombinationstherapie","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/action-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.809",ActionType,ActionType,"The type of action to be performed.","StructureDefinition/mii-pr-onko-therapieempfehlung-kombinationstherapie","THO"
