URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.de/ValueSet/bfarm/icd-10-gm,1.5.4,active,,ICD10GMVS,ICD10GM ValueSet,"ICD-10-GM","StructureDefinition/mii-pr-onko-operation,StructureDefinition/mii-pr-onko-mamma-operation,StructureDefinition/mii-pr-onko-prostata-operation,StructureDefinition/mii-pr-onko-mamma-sozialdienst,StructureDefinition/mii-pr-onko-melanom-exzision,StructureDefinition/mii-pr-onko-krk-operation","de.basisprofil.r4"
http://hl7.org/fhir/ValueSet/condition-clinical,4.0.1,draft,"2.16.840.1.113883.4.642.3.164",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","StructureDefinition/mii-pr-onko-diagnose-primaertumor,StructureDefinition/mii-pr-onko-fruehere-tumorerkrankung","THO"
http://hl7.org/fhir/ValueSet/condition-ver-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.166",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","StructureDefinition/mii-pr-onko-diagnose-primaertumor,StructureDefinition/mii-pr-onko-fruehere-tumorerkrankung","THO"
http://loinc.org/vs/LL4986-7,null,active,,LOINCAnswersLL4986-7,LOINC Answer Codes for LL4986-7,"","ConceptMap/mii-cm-onko-allgemeiner-leistungszustand-karnofsky-loinc","LOINC"
http://loinc.org/vs/LL529-9,null,active,,LOINCAnswersLL529-9,LOINC Answer Codes for LL529-9,"","ConceptMap/mii-cm-onko-allgemeiner-leistungszustand-ecog-loinc","LOINC"
https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/ValueSet/mii-vs-diagnose-icd10gm,2026.0.0,active,,MII_VS_Diagnose_ICD10GM,MII VS Diagnose ICD-10-GM,"Enthaelt ICD-10-GM-Codes der Versionen 2009 bis 2025","StructureDefinition/mii-pr-onko-diagnose-primaertumor,StructureDefinition/mii-pr-onko-tod","de.basisprofil.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-allgemeiner-leistungszustand-ecog,2026.0.3,active,,MII_VS_Onko_Allgemeiner_Leistungszustand_ECOG,MII VS Onkologie Allgemeiner Leistungszustand nach ECOG,"Value Set für oBDS-Codes für den Allgemeinen Leistungszustand nach ECOG","StructureDefinition/mii-pr-onko-allgemeiner-leistungszustand-ecog,ConceptMap/mii-cm-onko-allgemeiner-leistungszustand-ecog-loinc","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-allgemeiner-leistungszustand-ecog-loinc,2026.0.3,active,,MII_VS_Onko_Allgemeiner_Leistungszustand_ECOG_LOINC,MII VS Onkologie Allgemeiner Leistungszustand ECOG LOINC,"LOINC-Answer-Codes für den ECOG Performance Status. Enumerierte Fassung der LOINC-Answer-List LL529-9.","StructureDefinition/mii-pr-onko-allgemeiner-leistungszustand-ecog","LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-allgemeiner-leistungszustand-karnofsky,2026.0.3,active,,MII_VS_Onko_Allgemeiner_Leistungszustand_Karnofsky,MII VS Onkologie Allgemeiner Leistungszustand nach Karnofsky,"Value Set für oBDS-Codes für den Allgemeinen Leistungszustand nach Karnofsky","ConceptMap/mii-cm-onko-allgemeiner-leistungszustand-karnofsky-loinc,StructureDefinition/mii-pr-onko-allgemeiner-leistungszustand-karnofsky","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-allgemeiner-leistungszustand-karnofsky-loinc,2026.0.3,active,,MII_VS_Onko_Allgemeiner_Leistungszustand_Karnofsky_LOINC,MII VS Onkologie Allgemeiner Leistungszustand Karnofsky LOINC,"LOINC-Answer-Codes für den Karnofsky Performance Status. Enumerierte Fassung der LOINC-Answer-List LL4986-7.","StructureDefinition/mii-pr-onko-allgemeiner-leistungszustand-karnofsky","LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-asa-loinc,2026.0.3,active,,MII_VS_Onko_ASA_LOINC,MII VS Onkologie ASA LOINC,"Value Set für LOINC ASA Physical Status Classification (generalisiert für alle onkologischen Indikationen)","ConceptMap/mii-cm-onko-asa-obds-loinc","LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-asa-obds,2026.0.3,active,,MII_VS_Onko_ASA_oBDS,MII VS Onkologie ASA oBDS,"Value Set für oBDS ASA-Klassifikation (ursprünglich KR9 aus Kolorektales Karzinom Modul, generalisiert für alle onkologischen Indikationen)","ConceptMap/mii-cm-onko-asa-obds-loinc,StructureDefinition/mii-pr-onko-asa-klassifikation","Internal"
