Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-onko-de-v2026.json	261968	-	0	0	0	0	0	0	29	118	0	0	0	0	0	0	0	3	0	0	60	857	2653	0	0	0	25	0	3
fsh-generated/resources/AdverseEvent-mii-exa-onko-nebenwirkung-anaemie-grad3.json	1522	5	0	0	1	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	10	15	60	0	0	0	0	0	0
fsh-generated/resources/AdverseEvent-mii-exa-onko-nebenwirkung-crs-grad4.json	1581	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	10	14	54	0	0	0	0	0	0
fsh-generated/resources/AdverseEvent-mii-exa-onko-nebenwirkung-rektale-mukositis-grad2.json	1425	2	0	0	0	0	0	0	0	903	0	0	0	0	0	0	0	0	0	0	9	13	54	0	0	0	0	0	0
fsh-generated/resources/AdverseEvent-mii-exa-onko-oxaliplatin-neuropathy.json	1373	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9	69	50	0	0	0	0	0	0
fsh-generated/resources/AdverseEvent-mii-pr-onko-nebenwirkung-0.json	1480	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	10	53	0	0	0	0	0	0
fsh-generated/resources/AdverseEvent-mii-pr-onko-nebenwirkung-text.json	774	3	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	8	54	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-cup-bundle.json	14351	5	14	0	0	0	0	0	1	1151	0	0	0	0	0	0	0	0	0	0	14	43	124	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-folfox-workflow-bundle.json	40248	10	23	0	0	0	0	0	3	135	0	0	0	0	0	0	0	1	0	0	9	119	318	0	0	0	0	0	1
fsh-generated/resources/Bundle-mii-exa-onko-kim-musterperson-synthesized.json	55546	11	18	0	0	0	0	0	5	444	0	0	0	0	0	0	0	0	0	0	10	142	398	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-krk-bundle.json	17333	6	15	0	0	0	0	0	1	1520	0	0	0	0	0	0	0	0	0	0	9	58	4716	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-mamma-example-bundle-1.json	12849	4	3	0	0	0	0	0	1	404	0	0	0	0	0	0	0	0	0	0	13	47	1181	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-melanom-bundle.json	13738	4	2	0	0	0	0	0	1	1903	0	0	0	0	0	0	0	0	0	0	14	50	5797	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-prostata-example-bundle-1.json	16910	4	3	0	0	0	0	0	2	11	0	0	0	0	0	0	0	0	0	0	10	54	118	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-tnm-bundle-legacy.json	10698	4	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	28	60	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-tnm-bundle-synthesized.json	21910	6	2	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	0	0	11	57	182	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-tnm-bundle.json	11238	4	1	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	10	28	64	0	0	0	0	0	0
