Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-onko-de-v2026.json	181644	-	0	0	0	0	0	0	26	135	0	0	0	0	1	0	0	3	0	0	68	681	1013	0	0	0	18	0	5
fsh-generated/resources/AdverseEvent-mii-exa-onko-oxaliplatin-neuropathy.json	1373	4	0	0	1	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	13	15	37	0	0	1	0	0	0
fsh-generated/resources/AdverseEvent-mii-pr-onko-nebenwirkung-0.json	884	1	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	12	13	27	0	0	0	0	0	0
fsh-generated/resources/AdverseEvent-mii-pr-onko-nebenwirkung-text.json	742	2	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	11	11	27	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-folfox-workflow-bundle.json	38320	15	29	0	0	0	0	0	2	994	0	0	0	0	0	0	0	0	0	0	21	168	208	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-krk-bundle.json	17065	5	12	0	0	0	0	0	1	1806	0	0	0	0	0	0	0	0	0	0	8	75	3807	0	0	0	0	0	1
fsh-generated/resources/Bundle-mii-exa-onko-mamma-example-bundle-1.json	12531	3	2	0	1	0	0	0	1	307	0	0	0	0	0	0	0	0	0	0	8	51	970	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-melanom-bundle.json	13453	3	2	0	0	0	0	0	1	1557	0	0	0	0	0	0	0	0	0	0	8	43	4702	0	0	0	0	0	0
fsh-generated/resources/Bundle-mii-exa-onko-prostata-example-bundle-1.json	15975	3	3	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	7	61	83	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-mii-cps-onko-capabilitystatement.json	89659	8	0	0	0	0	1	0	4	110	0	0	0	0	1	0	0	1	0	0	9	252	165	0	2	0	6	0	1
fsh-generated/resources/CarePlan-PatientKimMusterperson-Tumorkonferenz-1.json	2020	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	13	15	0	0	0	0	0	0
fsh-generated/resources/CarePlan-PatientKimMusterperson-Tumorkonferenz-2.json	1406	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	9	11	0	0	0	0	0	0
fsh-generated/resources/CarePlan-PatientKimMusterperson-Tumorkonferenz-3.json	1550	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	11	15	0	0	0	0	0	0
fsh-generated/resources/CarePlan-PatientKimMusterperson-Tumorkonferenz-4.json	1651	1	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	11	13	0	0	0	0	0	0
fsh-generated/resources/CarePlan-mii-exa-onko-tumorkonferenz-01.json	1006	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	9	11	0	0	0	0	0	0
fsh-generated/resources/CarePlan-mii-exa-onko-tumorkonferenz-02.json	1959	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	12	11	0	0	0	0	0	0
fsh-generated/resources/CarePlan-mii-exa-onko-tumorkonferenz-folfox-modification.json	1239	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	4	9	14	0	0	0	0	0	0
fsh-generated/resources/CarePlan-mii-exa-onko-tumorkonferenz-folfox.json	1201	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	9	15	0	0	0	0	0	0
fsh-generated/resources/CarePlan-mii-exa-onko-tumorkonferenz-mixed-approach.json	1481	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	9	14	0	0	0	0	0	0
fsh-generated/resources/CarePlan-mii-exa-onko-tumorkonferenz-molekular.json	2114	1	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	3	12	14	0	0	0	0	0	0
fsh-generated/resources/CarePlan-mii-exa-onko-tumorkonferenz-pure-molecular.json	1440	2	0	0	0	0	0	0	0	646	0	0	0	0	0	0	0	0	0	0	3	10	15	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-allgemeiner-leistungszustand-ecog.json	2046	1	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	3	14	91	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-allgemeiner-leistungszustand-karnofsky.json	1721	2	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	4	13	81	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-asa-obds.json	1937	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	3	16	68	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-fernmetastasen.json	1759	2	0	0	1	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	4	12	66	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-genetische-variante-auspraegung.json	1325	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	10	60	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-grading.json	1984	1	0	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	4	13	60	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-intention.json	1351	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	3	9	58	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-krk-anastomoseninsuffizienz.json	1435	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	11	53	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-krk-mrt-mesorektale-faszie-status.json	1584	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	4	16	53	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-krk-operationstyp.json	1433	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	11	48	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-krk-stoma-anzeichnung.json	1780	1	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	5	11	45	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-krk-tme-qualitaet.json	1074	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	8	46	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-mamma-her2neu-status-leitlinie.json	1722	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	3	13	49	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-mamma-her2neu-status-obds.json	1247	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	4	9	46	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-mamma-rezeptorstatus-leitlinie.json	1338	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	4	10	44	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-melanom-ulzeration.json	1074	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	8	70	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-nebenwirkung-ctcae-grad.json	1585	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	12	78	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-operation-komplikation.json	7443	2	0	0	1	0	0	0	1	11	0	0	0	0	1	0	0	0	0	0	6	49	117	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-operation-urgency.json	1395	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	10	40	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-primaertumor-diagnosesicherung.json	3939	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	1	0	0	4	27	123	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-prostata-postsurgical-complications.json	1173	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	11	50	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-residualstatus.json	1541	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	6	12	38	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-seitenlokalisation.json	1432	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	10	36	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-strahlentherapie-applikationsart.json	3630	1	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	4	23	45	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-strahlentherapie-boost.json	1377	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	10	39	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-strahlentherapie-strahlenart.json	2372	1	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	4	21	1270	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-strahlentherapie-zielgebiet-2014.json	12370	3	0	0	0	0	0	0	1	25	0	0	0	0	0	0	0	0	0	0	6	84	92	0	0	0	2	0	1
fsh-generated/resources/CodeSystem-mii-cs-onko-strahlentherapie-zielgebiet.json	8298	2	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	6	54	1343	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-studienteilnahme.json	1002	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	4	8	44	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-systemische-therapie-protokolle.json	21883	3	0	0	1	0	0	0	2	24	0	0	0	0	0	0	0	0	0	0	9	118	133	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-therapie-ende-grund.json	1730	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	5	12	46	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-therapie-stellungzurop.json	1264	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	10	45	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-therapie-typ.json	2092	1	0	0	0	0	0	0	1	4	0	0	0	0	1	0	0	1	0	1	4	14	47	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-therapieabweichung.json	1043	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	8	44	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-therapieplanung-typ.json	1354	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	4	10	44	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-tnm-uicc.json	10009	2	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	8	59	97	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-tnm-version.json	1514	2	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	4	10	44	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-tod.json	1211	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	9	41	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-verlauf-fernmetastasen.json	1513	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	3	11	75	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-verlauf-gesamtbeurteilung.json	1770	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	3	14	45	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-verlauf-lymphknoten.json	1519	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	11	46	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-verlauf-primaertumor.json	1477	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	11	50	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-onko-weitere-klassifikationen-obds.json	34328	3	0	0	0	0	0	0	2	19	0	0	0	0	0	0	0	0	0	0	6	161	162	0	0	0	6	0	1
fsh-generated/resources/ConceptMap-mii-cm-mii-to-mvgenomseq-condition-diagnose-primaertumor.json	541	1	0	0	1	0	0	0	0	1284	0	0	0	0	1	0	0	0	0	0	2	7	37	0	0	0	0	0	0
