Output File                                                                         Name                                                           Type        FSH File                                                                                     Lines
AdverseEvent-mii-pr-onko-nebenwirkung-0.json                                        mii-pr-onko-nebenwirkung-0                                     Instance    oBDS\15_Nebenwirkung_ST_SYST\mii-exa-onko-nebenwirkung-0.fsh                                 1 - 10
CapabilityStatement-mii-cps-onko-capabilitystatement.json                           mii-cps-onko-capabilitystatement                               Instance    capability-statement.fsh                                                                     33 - 264
CarePlan-PatientKimMusterperson-Tumorkonferenz-1.json                               PatientKimMusterperson-Tumorkonferenz-1                        Instance    example-patient-1.fsh                                                                        86 - 101
CarePlan-PatientKimMusterperson-Tumorkonferenz-2.json                               PatientKimMusterperson-Tumorkonferenz-2                        Instance    example-patient-1.fsh                                                                        173 - 185
CarePlan-PatientKimMusterperson-Tumorkonferenz-3.json                               PatientKimMusterperson-Tumorkonferenz-3                        Instance    example-patient-1.fsh                                                                        331 - 344
CarePlan-PatientKimMusterperson-Tumorkonferenz-4.json                               PatientKimMusterperson-Tumorkonferenz-4                        Instance    example-patient-1.fsh                                                                        447 - 461

CarePlan-mii-exa-onko-tumorkonferenz-01.json                                        mii-exa-onko-tumorkonferenz-01                                 Instance    oBDS\18_19_Tumorkonferenz\mii-exa-onko-tumorkonferenz-01.fsh                                 1 - 11
CarePlan-mii-exa-onko-tumorkonferenz-02.json                                        mii-exa-onko-tumorkonferenz-02                                 Instance    oBDS\18_19_Tumorkonferenz\mii-exa-onko-tumorkonferenz-01.fsh                                 13 - 27
CodeSystem-mii-cs-onko-allgemeiner-leistungszustand-ecog.json                       MII_CS_Onko_Allgemeiner_Leistungszustand_ECOG                  CodeSystem  oBDS\12_Allgemeiner_Leistungszustand\mii-cs-onko-allgemeiner-leistungszustand-ecog.fsh       1 - 19
CodeSystem-mii-cs-onko-allgemeiner-leistungszustand-karnofsky.json                  MII_CS_Onko_Allgemeiner_Leistungszustand_Karnofsky             CodeSystem  oBDS\12_Allgemeiner_Leistungszustand\mii-cs-onko-allgemeiner-leistungszustand-karnofsky.fsh  1 - 24
CodeSystem-mii-cs-onko-fernmetastasen.json                                          MII_CS_Onko_Fernmetastasen                                     CodeSystem  oBDS\11_Fernmetastasen\mii-cs-onko-fernmetastasen.fsh                                        1 - 25
CodeSystem-mii-cs-onko-genetische-variante-auspraegung.json                         MII_CS_Onko_Genetische_Variante_Auspraegung                    CodeSystem  oBDS\23_GenetischeVariante\mii-cs-onko-genetische-variante-auspraegung.fsh                   1 - 18
CodeSystem-mii-cs-onko-grading.json                                                 MII_CS_Onko_Grading                                            CodeSystem  oBDS\06_Histologie\mii-cs-onko-grading.fsh                                                   1 - 26
CodeSystem-mii-cs-onko-intention.json                                               MII_CS_Onko_Intention                                          CodeSystem  overlapping terminologies\mii-cs-onko-intention.fsh                                          1 - 20
CodeSystem-mii-cs-onko-nebenwirkung-ctcae-grad.json                                 MII_CS_Onko_Nebenwirkung_CTCAE_Grad                            CodeSystem  oBDS\15_Nebenwirkung_ST_SYST\mii-cs-onko-nebenwirkung-ctcae-grad.fsh                         1 - 19
CodeSystem-mii-cs-onko-operation-komplikation.json                                  MII_CS_Onko_Operation_Komplikationen                           CodeSystem  oBDS\13_OP\mii-cs-onko-operation-komplikation.fsh                                            1 - 92
CodeSystem-mii-cs-onko-primaertumor-diagnosesicherung.json                          MII_CS_Onko_Primaertumor_Diagnosesicherung                     CodeSystem  oBDS\05_Diagnose\mii-cs-onko-primaertumor-diagnosesicherung.fsh                              1 - 25
CodeSystem-mii-cs-onko-residualstatus.json                                          MII_CS_Onko_Residualstatus                                     CodeSystem  oBDS\10_Residualstatus\mii-cs-onko-residualstatus.fsh                                        1 - 20
CodeSystem-mii-cs-onko-seitenlokalisation.json                                      MII_CS_Onko_Seitenlokalisation                                 CodeSystem  overlapping terminologies\mii-cs-onko-seitenlokalisation.fsh                                 1 - 18
CodeSystem-mii-cs-onko-strahlentherapie-applikationsart.json                        MII_CS_Onko_Strahlentherapie_Applikationsart                   CodeSystem  oBDS\14_Strahlentherapie\mii-cs-onko-strahlentherapie-applikationsart.fsh                    1 - 37
CodeSystem-mii-cs-onko-strahlentherapie-boost.json                                  MII_CS_Onko_Strahlentherapie_Boost                             CodeSystem  oBDS\14_Strahlentherapie\mii-cs-onko-strahlentherapie-boost.fsh                              1 - 18
CodeSystem-mii-cs-onko-strahlentherapie-strahlenart.json                            MII_CS_Onko_Strahlentherapie_Strahlenart                       CodeSystem  oBDS\14_Strahlentherapie\mii-cs-onko-strahlentherapie-strahlenart.fsh                        1 - 34
CodeSystem-mii-cs-onko-strahlentherapie-zielgebiet.json                             MII_CS_Onko_Strahlentherapie_Zielgebiet                        CodeSystem  oBDS\14_Strahlentherapie\mii-cs-onko-strahlentherapie-zielgebiet.fsh                         1 - 130
CodeSystem-mii-cs-onko-studienteilnahme.json                                        Studienteilnahme                                               CodeSystem  oBDS\24_Studienteilnahme\mii-cs-onko-studienteilnahme.fsh                                    1 - 15
CodeSystem-mii-cs-onko-therapie-ende-grund.json                                     MII_CS_Onko_Therapie_Ende_Grund                                CodeSystem  overlapping terminologies\mii-cs-onko-therapie-ende-grund.fsh                                1 - 22
CodeSystem-mii-cs-onko-therapie-stellungzurop.json                                  MII_CS_Onko_Therapie_StellungZurOp                             CodeSystem  overlapping terminologies\mii-cs-onko-therapie-stellungzurop.fsh                             1 - 18
CodeSystem-mii-cs-onko-therapie-typ.json                                            MII_CS_Onko_Therapie_Typ                                       CodeSystem  overlapping terminologies\mii-cs-onko-therapie-typ.fsh                                       1 - 28
CodeSystem-mii-cs-onko-therapieabweichung.json                                      MII_CS_Onko_Therapieabweichung                                 CodeSystem  oBDS\18_19_Tumorkonferenz\mii-cs-onko-therapieabweichung.fsh                                 1 - 15
CodeSystem-mii-cs-onko-therapieplanung-typ.json                                     MII_CS_Onko_Therapieplanung_Typ                                CodeSystem  oBDS\18_19_Tumorkonferenz\mii-cs-onko-therapieplanung-typ.fsh                                1 - 16
CodeSystem-mii-cs-onko-tnm-uicc.json                                                MII_CS_Onko_TNM_UICC                                           CodeSystem  oBDS\08_TNMKlassifikation\mii-cs-onko-tnm-uicc.fsh                                           1 - 144
CodeSystem-mii-cs-onko-tnm-version.json                                             MII_CS_Onko_TNM_Version                                        CodeSystem  oBDS\08_TNMKlassifikation\mii-cs-onko-tnm-version.fsh                                        1 - 21
CodeSystem-mii-cs-onko-tod.json                                                     MII_CS_Onko_Tod                                                CodeSystem  oBDS\20_Tod\mii-cs-onko-tod.fsh                                                              1 - 15
CodeSystem-mii-cs-onko-verlauf-fernmetastasen.json                                  MII_CS_Onko_Verlauf_Fernmetastasen                             CodeSystem  oBDS\17_Verlauf\mii-cs-onko-verlauf-fernmetastasen.fsh                                       1 - 20
CodeSystem-mii-cs-onko-verlauf-gesamtbeurteilung.json                               MII_CS_Onko_Verlauf_Gesamtbeurteilung                          CodeSystem  oBDS\17_Verlauf\mii-cs-onko-verlauf-gesamtbeurteilung.fsh                                    1 - 22
CodeSystem-mii-cs-onko-verlauf-lymphknoten.json                                     MII_CS_Onko_Verlauf_Lymphknoten                                CodeSystem  oBDS\17_Verlauf\mii-cs-onko-verlauf-lymphknoten.fsh                                          1 - 20
CodeSystem-mii-cs-onko-verlauf-primaertumor.json                                    MII_CS_Onko_Verlauf_Primaertumor                               CodeSystem  oBDS\17_Verlauf\mii-cs-onko-verlauf-primaertumor.fsh                                         1 - 20
ConceptMap-mii-cm-onko-allgemeiner-leistungszustand-sct.json                        mii-cm-onko-allgemeiner-leistungszustand-sct                   Instance    oBDS\12_Allgemeiner_Leistungszustand\mii-cm-onko-allgemeiner-leistungszustand-sct.fsh        1 - 51
ition-mii-ex-onko-strahlentherapie-bestrahlung.json                   MII_EX_Onko_Strahlentherapie_Bestrahlung                       Extension   oBDS\14_Strahlentherapie\mii-ex-onko-strahlentherapie-bestrahlung.fsh                        1 - 55
StructureDefinition-mii-ex-onko-strahlentherapie-intention.json                     MII_EX_Onko_Strahlentherapie_Intention                         Extension   oBDS\14_Strahlentherapie\mii-ex-onko-strahlentherapie-intention.fsh                          1 - 17
StructureDefinition-mii-ex-onko-strahlentherapie-stellungzurop.json                 MII_EX_Onko_Strahlentherapie_StellungZurOp                     Extension   oBDS\14_Strahlentherapie\mii-ex-onko-strahlentherapie-stellungzurop.fsh                      1 - 17
StructureDefinition-mii-ex-onko-systemische-therapie-intention.json                 MII_EX_Onko_Systemische_Therapie_Intention                     Extension   oBDS\16_SystemischeTherapie\mii-ex-onko-systemische-therapie-intention.fsh                   1 - 17
StructureDefinition-mii-ex-onko-systemische-therapie-stellungzurop.json             MII_EX_Onko_Systemische_Therapie_StellungZurOp                 Extension   oBDS\16_SystemischeTherapie\mii-ex-onko-systemische-therapie-stellungzurop.fsh               1 - 17
StructureDefinition-mii-ex-onko-tnm-cp-praefix.json                                 MII_EX_Onko_TNM_cp_Praefix                                     Extension   oBDS\08_TNMKlassifikation\mii-ex-onko-tnm-cp-praefix.fsh                                     1 - 11
StructureDefinition-mii-ex-onko-tnm-itc-suffix.json                                 MII_EX_Onko_TNM_ITC_Suffix                                     Extension   oBDS\08_TNMKlassifikation\mii-ex-onko-tnm-itc-suffix.fsh                                     1 - 11
StructureDefinition-mii-ex-onko-tnm-sn-suffix.json                                  MII_EX_Onko_TNM_SN_Suffix                                      Extension   oBDS\08_TNMKlassifikation\mii-ex-onko-tnm-sn-suffix.fsh                                      1 - 11
