page	lang	kind	source	gate	line	excerpt
Bundle-mii-exa-onko-krk-bundle-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/KolorektalesKarzinom/KRK-Bundle-Example.page.md	B	162	The resources contained in the bundle are also shipped as standalone example instances:
Bundle-mii-exa-onko-krk-bundle-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/KolorektalesKarzinom/KRK-Bundle-Example.page.md	B	160	Die im Bundle enthaltenen Ressourcen sind zusätzlich als eigenständige Beispielinstanzen ausgeliefert:
Bundle-mii-exa-onko-mamma-example-bundle-1-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/Mamma/Mamma-Bundle-Example.page.md	B	31	In addition, the bundle contains an **Encounter** representing the inpatient episode of care that the remaining resource
Bundle-mii-exa-onko-mamma-example-bundle-1-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/Mamma/Mamma-Bundle-Example.page.md	B	121	The resources contained in the bundle are also shipped as standalone example instances:
Bundle-mii-exa-onko-mamma-example-bundle-1-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/Mamma/Mamma-Bundle-Example.page.md	B	29	Zusätzlich enthält das Bundle einen **Encounter** als stationären Behandlungsfall, auf den sich die übrigen Ressourcen b
Bundle-mii-exa-onko-mamma-example-bundle-1-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/Mamma/Mamma-Bundle-Example.page.md	B	119	Die im Bundle enthaltenen Ressourcen sind zusätzlich als eigenständige Beispielinstanzen ausgeliefert:
Bundle-mii-exa-onko-melanom-bundle-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/MalignesMelanom/Melanom-Bundle-Example.page.md	B	34	As a therapeutic resource, the bundle additionally contains the **excision on the upper arm** as a Procedure.
Bundle-mii-exa-onko-melanom-bundle-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/MalignesMelanom/Melanom-Bundle-Example.page.md	B	140	The resources contained in the bundle are also shipped as standalone example instances:
Bundle-mii-exa-onko-melanom-bundle-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/MalignesMelanom/Melanom-Bundle-Example.page.md	B	32	Als therapeutische Ressource enthält das Bundle darüber hinaus die **Exzision am Oberarm** als Procedure.
Bundle-mii-exa-onko-melanom-bundle-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/MalignesMelanom/Melanom-Bundle-Example.page.md	B	138	Die im Bundle enthaltenen Ressourcen sind zusätzlich als eigenständige Beispielinstanzen ausgeliefert:
ConceptMap-mii-cm-onko-allgemeiner-leistungszustand-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Allgemeiner-Leistungszustand.page.md	B	2	<!-- TODO:REVIEW The source page consisted solely of an FQL block that generated the mapping table (oBDS coding, oBDS la
ConceptMap-mii-cm-onko-allgemeiner-leistungszustand-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Allgemeiner-Leistungszustand.page.md	B	1	<!-- TODO:REVIEW Die Quellseite bestand ausschliesslich aus einem FQL-Block, der die Mapping-Tabelle (oBDS-Kodierung, oB
ConceptMap-mii-cm-onko-fernmetastasen-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Lokalisation-Fernmetastasen.page.md	B	2	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-fernmetastasen-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Lokalisation-Fernmetastasen.page.md	B	1	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-genetische-variante-auspraegung-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Genetische-Variante-Auspraegung.page.md	B	7	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-genetische-variante-auspraegung-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Genetische-Variante-Auspraegung.page.md	B	6	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-grading-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Grading.page.md	B	4	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-grading-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Grading.page.md	B	3	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-intention-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Intention.page.md	B	4	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-intention-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Intention.page.md	B	3	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-nebenwirkung-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Nebenwirkung.page.md	B	4	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-nebenwirkung-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Nebenwirkung.page.md	B	3	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-operation-komplikation-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Operationskomplikation.page.md	B	6	The complete mapping table (oBDS coding ↔ SNOMED CT with equivalence level and comments) is generated from the ConceptMa
ConceptMap-mii-cm-onko-operation-komplikation-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Operationskomplikation.page.md	B	5	Die vollständige Mapping-Tabelle (oBDS-Kodierung ↔ SNOMED CT mit Äquivalenzlevel und Kommentaren) wird unterhalb dieser 
ConceptMap-mii-cm-onko-primaertumor-diagnosesicherung-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Primaertumor-Diagnosesicherung.page.md	B	4	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-primaertumor-diagnosesicherung-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Primaertumor-Diagnosesicherung.page.md	B	3	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-seitenlokalisation-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Seitenlokalisation.page.md	B	4	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-seitenlokalisation-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Seitenlokalisation.page.md	B	3	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-strahlentherapie-applikationsart-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Strahlentherapie-Applikationsart.page.md	B	4	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-strahlentherapie-applikationsart-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Strahlentherapie-Applikationsart.page.md	B	3	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-strahlentherapie-boost-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Strahlentherapie-Boost.page.md	B	4	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-strahlentherapie-boost-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Strahlentherapie-Boost.page.md	B	3	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-strahlentherapie-strahlenart-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Strahlentherapie-Strahlenart.page.md	B	4	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-strahlentherapie-strahlenart-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Strahlentherapie-Strahlenart.page.md	B	3	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-strahlentherapie-strahleneinheit-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Strahlentherapie-Strahleneinheit.page.md	B	4	The complete mapping table is generated from the ConceptMap below this introduction.
